Wall time,Step,Value
1756212375.2253504,582175,1090.056640625
1756212377.6251688,583250,1069.0308837890625
1756212379.6660044,584100,1064.686767578125
1756212381.9347856,585025,1057.9718017578125
1756212383.485377,585675,1049.6507568359375
1756212384.6211784,586150,1033.61181640625
1756212387.6632104,587350,1025.856689453125
1756212391.0662224,588750,979.03271484375
1756212392.9606173,589550,999.1699829101562
1756212394.3462842,590125,990.789794921875
1756212395.8595252,590750,1045.7979736328125
1756212398.3150613,591525,1056.361083984375
1756212399.560898,592000,1055.370361328125
1756212402.042078,592975,1048.2562255859375
1756212404.0906796,593775,1046.013916015625
1756212411.111381,596250,1012.0114135742188
1756212411.852102,596550,1023.14208984375
1756212413.035326,597075,1024.8944091796875
1756212419.30687,599650,1034.0980224609375
1756212428.7190194,603500,1047.8629150390625
1756212430.7372591,604300,1033.89501953125
1756212433.212461,605375,1077.2955322265625
1756212437.3267937,607125,1087.510009765625
1756212439.2610233,608000,1119.4996337890625
1756212440.6085727,608575,1132.41552734375
1756212445.1543064,610450,1170.2786865234375
1756212446.53138,611025,1160.463623046875
1756212447.7111425,611525,1165.5384521484375
1756212454.2197173,614125,1136.774169921875
1756212454.6880834,614300,1143.943603515625
1756212458.2405412,615775,1149.35205078125
1756212459.3283808,616175,1175.873779296875
1756212461.0277648,616800,1213.4920654296875
1756212467.260904,618850,1256.424072265625
1756212469.9445925,619925,1275.853271484375
1756212476.70963,622675,1299.0406494140625
1756212479.2828188,623700,1355.28173828125
1756212482.4938548,624675,1373.704833984375
1756212496.7617786,626150,1354.97021484375
1756212498.913516,627025,1348.583251953125
1756212501.517851,628100,1356.6890869140625
1756212502.541179,628550,1441.0233154296875
1756212506.1745882,630075,1470.6944580078125
1756212509.2743917,631375,1487.3565673828125
1756212513.772076,633200,1530.23828125
1756212516.123506,633850,1542.204345703125
1756212518.5382135,634825,1525.9451904296875
1756212520.099168,635475,1505.7110595703125
1756212522.9594107,636550,1469.0706787109375
1756212525.4621863,637375,1495.5728759765625
1756212527.3378518,638000,1490.60693359375
1756212530.98525,639475,1482.8839111328125
1756212533.2503018,640375,1479.595458984375
1756212538.3580394,642000,1472.5704345703125
1756212540.827226,642975,1484.9820556640625
1756212542.9671984,643825,1456.4718017578125
1756212551.0355468,646800,1416.73681640625
1756212552.339992,647300,1464.50830078125
1756212554.7688115,648225,1461.41552734375
1756212556.260989,648800,1455.9462890625
1756212561.7243893,650950,1446.0537109375
1756212567.286788,653100,1566.5533447265625
1756212570.8143117,654550,1519.2685546875
1756212572.4007256,655250,1505.9329833984375
1756212575.8634381,656650,1488.0023193359375
1756212578.7765555,657825,1469.310546875
1756212579.844325,658250,1408.6768798828125
1756212585.464757,660200,1464.0419921875
1756212586.6461318,660650,1485.4090576171875
1756212587.6862347,661050,1564.3857421875
1756212590.4059763,662100,1595.6260986328125
1756212594.351763,663600,1636.6070556640625
1756212596.0708005,664300,1614.645751953125
1756212598.9662433,665500,1614.2100830078125
1756212600.0917804,665950,1628.582275390625
1756212603.8136966,667525,1683.5712890625
1756212605.0686984,668075,1674.723388671875
1756212610.8632932,670175,1643.9024658203125
1756212612.0841897,670525,1639.029296875
1756212615.853606,671950,1600.97265625
1756212617.2904904,672500,1582.7357177734375
1756212620.622008,673825,1566.6553955078125
1756212625.7556505,675850,1461.6561279296875
1756212627.6614945,676575,1473.4073486328125
1756212628.657831,676950,1474.616943359375
1756212630.155401,677525,1450.0859375
1756212636.5274487,680025,1445.568359375
1756212641.445275,681725,1462.8233642578125
1756212644.988376,683050,1384.516845703125
1756212650.5858762,684800,1381.359375
1756212653.0268605,685700,1373.25146484375
1756212654.7458997,686400,1376.8355712890625
1756212656.1985648,687000,1333.05810546875
1756212656.8276975,687275,1320.6019287109375
1756212661.570879,689400,1278.42431640625
1756212664.305111,690550,1301.3031005859375
1756212665.7314956,691150,1286.7694091796875
1756212668.6145964,692450,1266.8958740234375
1756212670.0069106,693075,1275.89697265625
1756212672.2880638,694075,1307.92724609375
1756212676.97263,696175,1321.182861328125
1756212679.6160197,697300,1342.484130859375
1756212681.1392374,697950,1331.75048828125
1756212683.7906146,699100,1335.887451171875
1756212686.5770059,700350,1356.76708984375
1756212690.7962706,702175,1346.941650390625
1756212693.7576914,703525,1374.9400634765625
1756212695.1762736,704125,1298.611328125
1756212699.0034509,705425,1354.702880859375
1756212702.8784578,707050,1385.5811767578125
1756212705.7734914,708300,1386.3697509765625
1756212707.3637927,708975,1380.899658203125
1756212710.9457996,710525,1368.171875
1756212714.187209,711900,1395.8770751953125
1756212718.6927385,713500,1416.093017578125
1756212720.4058332,714200,1480.8466796875
1756212723.1728003,715325,1531.9658203125
1756212727.685294,717150,1592.3519287109375
1756212730.2269413,718200,1601.1888427734375
1756212733.6492505,719700,1576.5343017578125
1756212735.0128167,720325,1638.648681640625
1756212736.8211339,721175,1605.19140625
1756212738.1332362,721800,1624.4415283203125
1756212741.1521235,723200,1613.9205322265625
1756212742.5646439,723875,1622.8990478515625
1756212744.3089132,724625,1727.734130859375
1756212745.186237,725000,1719.8948974609375
1756212748.6362448,726450,1722.5965576171875
1756212753.9383686,728525,1740.529052734375
1756212760.3164525,730600,1738.42822265625
1756212763.3940897,731775,1685.9820556640625
1756212765.1400995,732450,1702.8851318359375
1756212766.661469,733075,1717.982177734375
1756212766.9183238,733175,1735.2135009765625
1756212769.041506,734025,1786.488037109375
